Dimension ID,Member Name,Classification Code,Member ID,Parent Member ID,Terminated,Member Notes,Member Correction Notes,Member Geo Attribute Keys,Member Definitions
4,Malay,,142,129,,,,,
4,"Pampangan (Kapampangan, Pampango)",,143,129,,,,,
4,Pangasinan,,144,129,,,,,
4,"Tagalog (Pilipino, Filipino)",,145,129,,,,,
4,Waray-Waray,,146,129,,,,,
4,"Austronesian languages, n.i.e.",,147,129,,,,,
4,Creole languages,,148,98,,,,,
4,Haitian Creole,,149,148,,,,,
4,Jamaican English Creole,,150,148,,,,,
4,Krio,,151,148,,,,,
4,Morisyen,,152,148,,,,,
4,Sango,,153,148,,,,,
4,"Creole, n.o.s.",,154,148,,,,,
4,"Creole languages, n.i.e.",,155,148,,,,,
4,Dravidian languages,,156,98,,,,,
4,Kannada,,157,156,,,,,
4,Malayalam,,158,156,,,,,
4,Tamil,,159,156,,,,,
4,Telugu,,160,156,,,,,
4,Tulu,,161,156,,,,,
4,"Dravidian languages, n.i.e.",,162,156,,,,,
4,Georgian,,163,98,,,,,
4,Hmong-Mien languages,,164,98,,,,,
4,Indo-European languages,,165,98,,,,,
4,Albanian,,166,165,,,,,
4,Armenian,,167,165,,,,,
4,Balto-Slavic languages,,168,165,,,,,
4,Baltic languages,,169,168,,,,,
4,Latvian,,170,169,,,,,
4,Lithuanian,,171,169,,,,,
4,Slavic languages,,172,168,,,,,
4,Belarusian,,173,172,,,,,
4,Bulgarian,,174,172,,,,,
4,Czech,,175,172,,,,,
4,Macedonian,,176,172,,,,,
4,Polish,,177,172,,,,,
4,Russian,,178,172,,,,,
4,Rusyn,,179,172,,,,,
4,Serbo-Croatian,,180,172,,,,,
4,Bosnian,,181,180,,,,,
4,Croatian,,182,180,,,,,
4,Serbian,,183,180,,,,,
4,"Serbo-Croatian, n.i.e.",,184,180,,,,,
4,Slovak,,185,172,,,,,
4,Slovene (Slovenian),,186,172,,,,,
4,Ukrainian,,187,172,,,,,
4,"Slavic languages, n.i.e.",,188,172,,,,,
4,Celtic languages,,189,165,,,,,
4,Irish,,190,189,,,,,
4,Scottish Gaelic,,191,189,,,,,
4,Welsh,,192,189,,,,,
4,"Celtic languages, n.i.e.",,193,189,,,,,
4,Germanic languages,,194,165,,,,,
4,Frisian,,195,194,,,,,
4,High German languages,,196,194,,,,,
4,German,,197,196,,,,,
4,Pennsylvania German,,198,196,,,,,
4,Swiss German,,199,196,,,,,
4,Yiddish,,200,196,,,,,
4,Low Saxon-Low Franconian languages,,201,194,,,,,
4,Afrikaans,,202,201,,,,,
4,Dutch,,203,201,,,,,
4,"Low German, n.o.s.",,204,201,,,,,
4,Low Saxon,,205,201,,,,,
4,Plautdietsch,,206,201,,,,,
4,Vlaams (Flemish),,207,201,,,,,
4,Scandinavian languages,,208,194,,,,,
4,Danish,,209,208,,,,,
4,Icelandic,,210,208,,,,,
4,Norwegian,,211,208,,,,,
4,Swedish,,212,208,,,,,
4,"Germanic languages, n.i.e.",,213,194,,,,,
4,Greek,,214,165,,,,,
4,Indo-Iranian languages,,215,165,,,,,
4,Indo-Aryan languages,,216,215,,,,,
4,Assamese,,217,216,,,,,
4,Bengali,,218,216,,,,,
4,Gujarati,,219,216,,,,,
4,Hindi,,220,216,,,,,
4,Kacchi,,221,216,,,,,
4,Kashmiri,,222,216,,,,,
4,Konkani,,223,216,,,,,
4,Marathi,,224,216,,,,,
4,Nepali,,225,216,,,,,
4,Oriya languages,,226,216,,,,,
4,Odia,,227,226,,,,,
4,"Oriya, n.o.s.",,228,226,,,,,
4,Punjabi (Panjabi),,229,216,,,,,
4,Rohingya,,230,216,,,,,
4,Sindhi,,231,216,,,,,
4,Sinhala (Sinhalese),,232,216,,,,,
4,Urdu,,233,216,,,,,
4,"Indo-Aryan languages, n.i.e.",,234,216,,,,,
4,Iranian languages,,235,215,,,,,
4,Baluchi,,236,235,,,,,
4,Kurdish,,237,235,,,,,
4,Parsi,,238,235,,,,,
4,Pashto,,239,235,,,,,
4,Persian languages,,240,235,,,,,
4,Dari,,241,240,,,,,
4,Iranian Persian,,242,240,,,,,
4,"Persian (Farsi), n.o.s.",,243,240,,,,,
4,"Iranian languages, n.i.e.",,244,235,,,,,
4,"Indo-Iranian languages, n.i.e.",,245,215,,,,,
4,Italic (Romance) languages,,246,165,,,,,
4,Catalan,,247,246,,,,,
4,Italian,,248,246,,,,,
4,Portuguese,,249,246,,,,,
4,Romanian,,250,246,,,,,
4,Spanish,,251,246,,,,,
4,"Italic (Romance) languages, n.i.e.",,252,246,,,,,
4,"Indo-European languages, n.i.e.",,253,165,,,,,
4,Japanese,,254,98,,,,,
4,Korean,,255,98,,,,,
4,Mongolian,,256,98,,,,,
4,Niger-Congo languages,,257,98,,,,,
4,Akan (Twi),,258,257,,,,,
4,Bamanankan,,259,257,,,,,
4,Edo,,260,257,,,,,
4,Éwé,,261,257,,,,,
4,"Fulah (Pular, Pulaar, Fulfulde)",,262,257,,,,,
4,Ga,,263,257,,,,,
4,Ganda,,264,257,,,,,
4,Gikuyu,,265,257,,,,,
4,Igbo,,266,257,,,,,
4,Kinyarwanda (Rwanda),,267,257,,,,,
4,Lingala,,268,257,,,,,
4,Luba-Kasai,,269,257,,,,,
4,Mòoré,,270,257,,,,,
4,Mwani,,271,257,,,,,
4,Ndebele,,272,257,,,,,
4,Rundi (Kirundi),,273,257,,,,,
4,Shona,,274,257,,,,,
4,Soninke,,275,257,,,,,
4,Sotho-Tswana languages,,276,257,,,,,
4,Swahili,,277,257,,,,,
4,Wojenaka,,278,257,,,,,
4,Wolof,,279,257,,,,,
4,Yoruba,,280,257,,,,,
4,"Niger-Congo languages, n.i.e.",,281,257,,,,,
4,Nilo-Saharan languages,,282,98,,,,,
4,Dinka,,283,282,,,,,
4,Nuer,,284,282,,,,,
4,"Nilo-Saharan languages, n.i.e.",,285,282,,,,,
4,"African, n.o.s.",,286,282,,,,,
4,Sign languages,,287,98,,,,,
4,American Sign Language,,288,287,,,,,
4,Quebec Sign Language,,289,287,,,,,
4,"Sign languages, n.i.e.",,290,287,,,,,
4,Sino-Tibetan languages,,291,98,,,,,
4,Chinese languages,,292,291,,,,,
4,Hakka,,293,292,,,,,
4,Mandarin,,294,292,,,,,
4,Min Dong,,295,292,,,,,
4,"Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",,296,292,,,,,
4,Wu (Shanghainese),,297,292,,,,,
4,Yue (Cantonese),,298,292,,,,,
4,"Chinese, n.o.s.",,299,292,,,,,
4,"Chinese languages, n.i.e.",,300,292,,,,,
4,Tibeto-Burman languages,,301,291,,,,,
