Dimension ID,Member Name,Classification Code,Member ID,Parent Member ID,Terminated,Member Notes,Member Correction Notes,Member Geo Attribute Keys,Member Definitions
1,"Trois-Rivières (CMA), Que.",[442],53,26,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Val-d'Or (CA), Que.",[480],54,26,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Victoriaville (CA), Que.",[440],55,26,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,Ontario,[35],56,1,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Barrie (CMA), Ont.",[568],57,56,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Belleville - Quinte West (CMA), Ont.",[522],58,56,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Brantford (CMA), Ont.",[543],59,56,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Brockville (CA), Ont.",[512],60,56,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Centre Wellington (CA), Ont.",[531],61,56,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Chatham-Kent (CA), Ont.",[556],62,56,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Cobourg (CA), Ont.",[527],63,56,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Collingwood (CA), Ont.",[567],64,56,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Cornwall (CA), Ont.",[501],65,56,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Elliot Lake (CA), Ont.",[582],66,56,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Essa (CA), Ont.",[563],67,56,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Greater Sudbury (CMA), Ont.",[580],68,56,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Guelph (CMA), Ont.",[550],69,56,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Hamilton (CMA), Ont.",[537],70,56,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Hawkesbury (CA), Ont./Que.",[502],71,56,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Hawkesbury (Ontario part) (CA), Ont.",[35502],72,71,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Hawkesbury (Quebec part) (CA), Que.",[24502],73,71,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Ingersoll (CA), Ont.",[533],74,56,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Kawartha Lakes (CA), Ont.",[530],75,56,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Kenora (CA), Ont.",[598],76,56,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Kingston (CMA), Ont.",[521],77,56,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Kitchener - Cambridge - Waterloo (CMA), Ont.",[541],78,56,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"London (CMA), Ont.",[555],79,56,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Midland (CA), Ont.",[571],80,56,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Norfolk (CA), Ont.",[547],81,56,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"North Bay (CA), Ont.",[575],82,56,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Orillia (CA), Ont.",[569],83,56,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Oshawa (CMA), Ont.",[532],84,56,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Ottawa - Gatineau (CMA), Ont./Que.",[505],85,56,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Ottawa - Gatineau (Ontario part) (CMA), Ont.",[35505],86,85,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Ottawa - Gatineau (Quebec part) (CMA), Que.",[24505],87,85,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Owen Sound (CA), Ont.",[566],88,56,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Pembroke (CA), Ont.",[515],89,56,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Petawawa (CA), Ont.",[516],90,56,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Peterborough (CMA), Ont.",[529],91,56,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Port Hope (CA), Ont.",[528],92,56,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Sarnia (CA), Ont.",[562],93,56,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Sault Ste. Marie (CA), Ont.",[590],94,56,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"St. Catharines - Niagara (CMA), Ont.",[539],95,56,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Stratford (CA), Ont.",[553],96,56,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Thunder Bay (CMA), Ont.",[595],97,56,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Tillsonburg (CA), Ont.",[546],98,56,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Timmins (CA), Ont.",[586],99,56,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Toronto (CMA), Ont.",[535],100,56,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Wasaga Beach (CA), Ont.",[565],101,56,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Windsor (CMA), Ont.",[559],102,56,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Woodstock (CA), Ont.",[544],103,56,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,Manitoba,[46],104,1,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Brandon (CA), Man.",[610],105,104,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Portage la Prairie (CA), Man.",[607],106,104,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Steinbach (CA), Man.",[605],107,104,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Thompson (CA), Man.",[640],108,104,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Winkler (CA), Man.",[603],109,104,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Winnipeg (CMA), Man.",[602],110,104,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,Saskatchewan,[47],111,1,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Estevan (CA), Sask.",[750],112,111,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Moose Jaw (CA), Sask.",[715],113,111,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"North Battleford (CA), Sask.",[735],114,111,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Prince Albert (CA), Sask.",[745],115,111,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Regina (CMA), Sask.",[705],116,111,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Saskatoon (CMA), Sask.",[725],117,111,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Swift Current (CA), Sask.",[720],118,111,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Weyburn (CA), Sask.",[755],119,111,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Yorkton (CA), Sask.",[710],120,111,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,Alberta,[48],121,1,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Brooks (CA), Alta.",[806],122,121,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Calgary (CMA), Alta.",[825],123,121,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Camrose (CA), Alta.",[833],124,121,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Canmore (CA), Alta.",[828],125,121,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Edmonton (CMA), Alta.",[835],126,121,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Grande Prairie (CA), Alta.",[850],127,121,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"High River (CA), Alta.",[821],128,121,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Lacombe (CA), Alta.",[832],129,121,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Lethbridge (CMA), Alta.",[810],130,121,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Lloydminster (CA), Alta./Sask.",[840],131,121,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Lloydminster (Alberta part) (CA), Alta.",[48840],132,131,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Lloydminster (Saskatchewan part) (CA), Sask.",[47840],133,131,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Medicine Hat (CA), Alta.",[805],134,121,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Okotoks (CA), Alta.",[820],135,121,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Red Deer (CMA), Alta.",[830],136,121,,,,17;3;4;5;9;10;14;15;12;13;16;18,
